submission_number,submitter_name_anonymized,snowplow_name,meaning,winning_name
1,kjlt9cua,rudolph,The red nose cuts through any storm.,FALSE
2,KXKaabXN,salt life,"We may not be near the ocean like everyone else with the stickers that say Salt Life, but we have plenty of salt!",FALSE
3,kjlt9cua,blizzard,This plow can handle any storm.,FALSE
4,Rv9sODqp,butter,It's amazing how the snow plows through snow like butter!,FALSE
5,zzcc5FDn,santa's 10 reindeer,They can deliver through the bad weather and snow.,FALSE
6,wOrKO7XI,plowy mcplowface,It would be a great name,FALSE
7,MnBmsPpU,salt warrior,In respect of the saltine warrior,FALSE
8,UU1dbWLw,jim boeheim,The greatest NCAA basketball coach in history!,FALSE
9,wQtiJO11,"dasher, dancer, prancer, vixon, comet, cupid, donner, blitzen, frosty, rudolph",Christmas Names,FALSE
10,c5nrGUwl,slusher musher,self explanatory - i think,FALSE
11,RFKccLeq,cuse,Because we are in Syracuse,FALSE
12,V5BUKFd7,big ben,not only this pandemic but has gifted Syracuse with his leadership and efforts,FALSE
13,d81D6n8A,snow king,YOU ARE THE KING OF SNOW PLOWING OUR CITY,FALSE
14,AUTYy5mj,dietz,Local history.,FALSE
15,pgFEWiE2,otto,Syracuse University of Course.,FALSE
16,D3DDKfUr,salt city shovel,I'm hoping the connection is obvious.  ;-),FALSE
17,kBcnrXXG,balto,and strength in fighting disease outbreaks and is snow-themed.,FALSE
18,3twcoxYZ,plownt walkula,every morning. Trust me.,FALSE
19,B5ou2zP8,eric dungey,It moves stuff out of the way.,FALSE
20,EvSGpWog,scoop jardine,It scoops stuff.,FALSE
21,Rf0OGmTs,cuse crusher,Support of SU athletics,FALSE
22,QVbMrSOH,snow crystal,My daughter who is 7 thinks that would be a great name for a snow plow.,FALSE
23,F07QbW12,plowie mcplowface,It is in the spirit of Boaty McBoatface,FALSE
24,BWd5Imgs,mailbox crusher,Funny (hopefully not accurate!) name,FALSE
25,BNLaFtl7,burr-idgette,"Burr for the cold, mixed with a nice name Bridgette",FALSE
26,FmkhkHOg,spirit_of_bill_walsh,Named after William Walsh,FALSE
27,vIQd9nrZ,frosty the snowplow,"frosty the snowman is a famous character and ""Frosty the snowplow"" is a play on that",FALSE
28,BNLaFtl7,florence the flake fighter,My favorite Great Auntï¿½ï¿½ï¿½,FALSE
29,VqX8RdqP,city of syracuse,Named after the city,FALSE
30,8RSZ9ZZt,blizzard beater,"second shot to win the game.  This is a huge basketball town, and the shot clock was invented here.  Without it, we wouldn't",TRUE
31,iHfjt5vF,sno fighter,That is what the truck does,FALSE
32,S5pgMJfH,mr. plow,From the simpsons,FALSE
33,x7MgFsy3,hodor,"Character in Game of Thrones. Large, strong, loyal to the Starks (Royal House of the North)",FALSE
34,bzXOzjDC,comfort tyler,"One of the original settlers of modern Syracuse,  contributed his engineering skills to the development of Central New York.",FALSE
35,BWd5Imgs,the express,"Cross between Ernie Davis and the Christmas movie ï¿½ï¿½ï¿½The Polar Expressï¿½ï¿½ï¿½, tying Syracus",FALSE
36,x7MgFsy3,stark,Royal House of the North (Winter is Coming),FALSE
37,Veafb6gs,blizzard buster,Busting through the snow drifts from blizzards! It's about strength and defiance against the storms!,FALSE
38,0Hu8fKeJ,snowy mcsnowmobile,Snowy,FALSE
39,sgo7H6JT,plowy mcplowface,mcboatface-what-you-get-when-you-let-the-internet-decide.amp.html,FALSE
40,S5pgMJfH,ka-plow,Like kaboom,FALSE
41,q1b8kjmq,truckasaurus rex,NA,FALSE
42,7bjBMcbG,plowy mcplowface,Its a sibling to Boaty McBoatface  https://en.wikipedia.org/wiki/Boaty_McBoatface,FALSE
43,quRvrSKa,el chupacabra,Youï¿½ï¿½ï¿½ll never ,FALSE
44,S5pgMJfH,onondaga plowty,Like Onondaga county,FALSE
45,vyStQ9H7,snowmater,Name kids and adults can relate to. (Cars movie reference),FALSE
46,cEUm2RUJ,snowy mcsnowmobile,I think that's obvious.,FALSE
47,l3QjqSAR,frost bite,NA,FALSE
48,x7MgFsy3,winterfell,large castle located at the center of the North,FALSE
49,OTAqXgmZ,super service snowplow,"The benefit of what the machine, operator and organization does to make our lives better",FALSE
50,GIXkTGx2,tiny tino,There is literally not a better name.,FALSE
51,lFQk8JYf,plowy mcplowface,In honor of  Boaty McBoatFace https://en.wikipedia.org/wiki/Boaty_McBoatface,FALSE
52,HHzl8RjC,snowman's nightmare,No amount of snow is a challenge for these new plows,FALSE
53,riNlDKHv,the hammer !,IT BEATS UP WINTER STORMS BEFORE IT BEATS US!,FALSE
54,oUI37wwX,thaw enforcer,It is it,FALSE
55,0z4ApdR9,syracuse slusher,It's funny,FALSE
56,mzRtgTVF,superspreader,Just seems appropriate given the times and they do spread salt or brine,FALSE
